"","site","site_id","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type","lat","long"
"153","28th & Point Breeze",5,2023-10-11 09:50:00,2023-10-18 09:15:00,0.303,"REG",0.451,"REG",0.129,"REG",0.947,"REG",1.83,"REG",0.774,"REG",0.173,"REG",0.123,"REG",0.206,"REG",0.125,"REG",0.111,"REG",0.094,"REG",0.017,"REG",0.022,"REG",0.01,"ND",0.03,"LOD",0.063,"REG",0.03,"REG",0.038,"LOD",0.074,"REG",0.021,"LOD",0.038,"REG",0.033,"LOD",0.012,"LOD","stationary","39.92624784"," -75.1923165"
"154","Universal Charter at Vare",21,2023-10-11 09:59:00,2023-10-18 09:21:00,0.322,"REG",0.54,"REG",0.149,"REG",1.195,"REG",2.206,"REG",0.98,"REG",0.215,"REG",0.123,"REG",0.232,"REG",0.159,"REG",0.143,"REG",0.129,"REG",0.034,"REG",0.018,"REG",0.028,"REG",0.036,"LOD",0.077,"REG",0.041,"REG",0.072,"REG",0.09,"REG",0.027,"LOD",0.043,"REG",0.053,"LOD",0.023,"LOD","rotating","39.92640295"," -75.18538637"
"155","25th & Point Breeze",6,2023-10-11 09:43:00,2023-10-18 09:25:00,0.29,"REG",0.467,"REG",0.129,"REG",1.081,"REG",1.967,"REG",0.893,"REG",0.188,"REG",0.123,"REG",0.192,"REG",0.211,"REG",0.149,"REG",0.105,"REG",0.042,"REG",0.022,"REG",0.047,"REG",0.024,"LOD",0.059,"REG",0.03,"REG",0.048,"LOD",0.074,"REG",0.021,"LOD",0.038,"REG",0.046,"LOD",0.023,"LOD","stationary","39.92771763"," -75.1873965"
"156","24th & Ritner",8,2023-10-11 10:04:00,2023-10-18 09:30:00,0.303,"REG",0.434,"REG",0.119,"REG",0.949,"REG",1.805,"REG",0.781,"REG",0.168,"REG",0.128,"REG",0.246,"REG",0.152,"REG",0.15,"REG",0.129,"REG",0.042,"REG",0.018,"REG",0.023,"REG",0.03,"LOD",0.059,"REG",0.034,"REG",0.058,"REG",0.074,"REG",0.021,"LOD",0.032,"REG",0.053,"LOD",0.023,"LOD","stationary","39.92296389"," -75.186874"
"157","Morris & Point Breeze",7,2023-10-11 09:38:00,2023-10-18 09:39:00,0.333,"REG",0.45,"REG",0.114,"REG",0.931,"REG",1.828,"REG",0.764,"REG",0.167,"REG",0.118,"REG",0.198,"REG",0.118,"REG",0.124,"REG",0.082,"REG",0.046,"REG",0.018,"REG",0.056,"REG",0.03,"LOD",0.059,"REG",0.034,"REG",0.062,"REG",0.074,"REG",0.021,"LOD",0.065,"REG",0.079,"LOD",0.05,"LOD","stationary","39.93094655"," -75.1829941"
"158","Wharton Park",13,2023-10-11 09:29:00,2023-10-18 09:47:00,0.24,"REG",0.343,"REG",0.089,"REG",0.723,"REG",1.395,"REG",0.593,"REG",0.13,"REG",0.108,"REG",0.152,"REG",0.092,"REG",0.085,"REG",0.058,"LOD",0.009,"REG",0.018,"REG",0.01,"ND",0.024,"LOD",0.049,"REG",0.019,"LOD",0.053,"REG",0.057,"REG",0.017,"LOD",0.037,"REG",0.046,"LOD",0.018,"LOD","rotating","39.935920"," -75.183090"
"159","Bartram’s Garden",1,2023-10-11 08:54:00,2023-10-18 11:49:00,0.224,"REG",0.305,"REG",0.082,"REG",0.634,"REG",1.245,"REG",0.521,"REG",0.113,"REG",0.13,"REG",0.143,"REG",0.084,"REG",0.071,"REG",0.046,"LOD",0.004,"REG",0.022,"REG",0.01,"ND",0.018,"LOD",0.041,"LOD",0.022,"LOD",0.033,"LOD",0.048,"REG",0.017,"LOD",0.075,"REG",0.026,"LOD",0.012,"LOD","stationary","39.92896"," -75.212541"
"160","Bartram’s Garden",1,2023-10-18 11:51:00,2023-10-25 08:34:00,0.226,"REG",0.372,"REG",0.091,"REG",0.719,"REG",1.408,"REG",0.591,"REG",0.128,"REG",0.149,"REG",0.216,"REG",0.121,"REG",0.126,"REG",0.083,"REG",0.03,"REG",0.018,"REG",0.033,"REG",0.018,"LOD",0.043,"LOD",0.023,"LOD",0.034,"LOD",0.05,"REG",0.014,"LOD",0.049,"REG",0.027,"LOD",0.007,"LOD","stationary","39.92896"," -75.212541"
"161","Essington & Mingo",2,2023-10-18 08:36:00,2023-10-25 08:45:00,0.265,"REG",0.479,"REG",0.113,"REG",0.928,"REG",1.785,"REG",0.777,"REG",0.151,"REG",0.137,"REG",0.225,"REG",0.145,"REG",0.136,"REG",0.07,"LOD",0.05,"REG",0.026,"REG",0.056,"REG",0.018,"LOD",0.045,"REG",0.022,"LOD",0.043,"LOD",0.049,"REG",0.017,"LOD",0.026,"REG",0.053,"LOD",0.023,"LOD","stationary","39.90131732"," -75.2250262"
"162","61st & Passyunk",3,2023-10-18 08:43:00,2023-10-25 08:51:00,0.432,"REG",1.082,"REG",0.297,"REG",2.412,"REG",4.223,"REG",1.995,"REG",0.417,"REG",0.127,"REG",0.714,"REG",0.396,"REG",0.398,"REG",0.257,"REG",0.095,"REG",0.018,"REG",0.047,"REG",0.066,"REG",0.146,"REG",0.067,"REG",0.077,"REG",0.173,"REG",0.048,"REG",0.026,"REG",0.079,"LOD",0.055,"REG","stationary","39.91820446"," -75.2085474"
"163","28th & Passyunk",4,2023-10-18 08:47:00,2023-10-25 08:56:00,2.445,"ULOD",1.677,"ULOD",2.314,"REG",11.617,"ULOD",18.053,"ULOD",8.487,"ULOD",3.13,"ULOD",0.127,"REG",2.637,"ULOD",1.321,"ULOD",2.541,"ULOD",2.332,"ULOD",0.793,"ULOD",0.022,"REG",0.32,"REG",0.469,"REG",0.696,"ULOD",0.527,"REG",0.015,"ND",1.461,"REG",0.308,"REG",0.015,"LOD",0.185,"REG",0.077,"REG","stationary","39.92061091"," -75.1955879"
"164","24th & Ritner",8,2023-10-18 09:30:00,2023-10-25 09:02:00,0.695,"REG",1.437,"REG",0.452,"REG",3.89,"REG",6.474,"REG",3.267,"REG",0.623,"REG",0.133,"REG",1.346,"REG",0.822,"REG",0.746,"REG",0.655,"REG",0.179,"REG",0.018,"REG",0.118,"REG",0.096,"REG",0.195,"REG",0.131,"REG",0.165,"REG",0.273,"REG",0.065,"REG",0.021,"LOD",0.153,"REG",0.055,"REG","stationary","39.92296389"," -75.186874"
"165","Morris & Point Breeze",7,2023-10-18 09:39:00,2023-10-25 09:10:00,0.427,"REG",0.815,"REG",0.238,"REG",1.977,"REG",3.457,"REG",1.647,"REG",0.33,"REG",0.123,"REG",0.59,"REG",0.358,"REG",0.342,"REG",0.269,"REG",0.071,"REG",0.018,"REG",0.028,"REG",0.048,"LOD",0.105,"REG",0.045,"REG",0.067,"REG",0.132,"REG",0.034,"LOD",0.06,"REG",0.086,"REG",0.061,"REG","stationary","39.93094655"," -75.1829941"
"166","25th & Point Breeze",6,2023-10-18 09:25:00,2023-10-25 09:13:00,0.451,"REG",0.995,"REG",0.297,"REG",2.54,"REG",4.283,"REG",2.127,"REG",0.413,"REG",0.151,"REG",0.788,"REG",0.562,"REG",0.476,"REG",0.339,"REG",0.133,"REG",0.035,"REG",0.118,"REG",0.06,"REG",0.125,"REG",0.064,"REG",0.063,"REG",0.165,"REG",0.041,"REG",0.032,"REG",0.06,"LOD",0.023,"LOD","stationary","39.92771763"," -75.1873965"
"167","28th & Point Breeze",5,2023-10-18 09:15:00,2023-10-25 09:17:00,0.55,"REG",1.23,"REG",0.357,"REG",3.057,"REG",5.194,"REG",2.556,"REG",0.501,"REG",0.132,"REG",0.965,"REG",0.608,"REG",0.552,"REG",0.408,"REG",0.137,"REG",0.022,"REG",0.089,"REG",0.072,"REG",0.157,"REG",0.075,"REG",0.077,"REG",0.206,"REG",0.051,"REG",0.032,"REG",0.066,"LOD",0.034,"LOD","stationary","39.92624784"," -75.1923165"
"168","Carl Moore Health Center",19,2023-10-18 10:37:00,2023-10-25 09:25:00,0.385,"REG",0.699,"REG",0.179,"REG",1.42,"REG",2.683,"REG",1.183,"REG",0.237,"REG",0.133,"REG",0.42,"REG",0.246,"REG",0.253,"REG",0.188,"REG",0.08,"REG",0.018,"REG",0.099,"REG",0.036,"LOD",0.081,"REG",0.034,"REG",0.068,"REG",0.099,"REG",0.028,"LOD",0.038,"REG",0.06,"LOD",0.023,"LOD","rotating","39.93592967"," -75.19557444"
"169","Audenreid",18,2023-10-18 09:57:00,2023-10-25 09:38:00,0.452,"REG",0.92,"REG",0.293,"REG",2.159,"REG",3.824,"REG",1.788,"REG",0.371,"REG",0.137,"REG",0.716,"REG",0.364,"REG",0.355,"REG",0.269,"REG",0.104,"REG",0.018,"REG",0.075,"REG",0.06,"REG",0.133,"REG",0.045,"REG",0.063,"REG",0.157,"REG",0.045,"REG",0.043,"REG",0.06,"LOD",0.028,"LOD","rotating","39.93416729"," -75.19723264"
"170","Crescent Park",16,2023-10-18 11:01:00,2023-10-25 09:50:00,0.235,"REG",0.355,"REG",0.094,"REG",0.705,"REG",1.389,"REG",0.584,"REG",0.121,"REG",0.138,"REG",0.22,"REG",0.126,"REG",0.124,"REG",0.082,"REG",0.025,"REG",0.022,"REG",0.023,"REG",0.018,"LOD",0.042,"LOD",0.03,"REG",0.043,"LOD",0.049,"REG",0.014,"LOD",0.032,"REG",0.033,"LOD",0.012,"LOD","rotating","39.93965"," -75.204199"
"171","26th & Hartranft",9,2023-10-18 08:58:00,2023-10-25 10:05:00,0.596,"REG",1.172,"REG",0.33,"REG",2.64,"REG",4.738,"REG",2.209,"REG",0.431,"REG",0.141,"REG",1.242,"REG",0.709,"REG",0.682,"REG",0.58,"REG",0.165,"REG",0.018,"REG",0.107,"REG",0.084,"REG",0.152,"REG",0.071,"REG",0.173,"REG",0.204,"REG",0.058,"REG",0.015,"LOD",0.243,"REG",0.183,"REG","stationary","39.91327125"," -75.1922011"
"172","Bartram’s Garden",1,2023-10-25 08:34:00,2023-11-01 12:24:00,0.289,"REG",0.716,"REG",0.106,"REG",0.786,"REG",1.897,"REG",0.643,"REG",0.143,"REG",0.125,"REG",0.252,"REG",0.122,"REG",0.152,"REG",0.103,"REG",0.142,"REG",0.026,"REG",0.272,"REG",0.029,"LOD",0.054,"REG",0.026,"LOD",0.075,"REG",0.056,"REG",0.02,"LOD",0.037,"REG",0.058,"LOD",0.023,"LOD","stationary","39.92896"," -75.212541"
"173","Essington & Mingo",2,2023-10-25 08:45:00,2023-11-01 12:40:00,0.313,"REG",0.757,"REG",0.121,"REG",0.939,"REG",2.13,"REG",0.781,"REG",0.158,"REG",0.12,"REG",0.284,"REG",0.148,"REG",0.196,"REG",0.114,"REG",0.093,"REG",0.034,"REG",0.101,"REG",0.029,"LOD",0.058,"REG",0.022,"LOD",0.061,"REG",0.056,"REG",0.023,"LOD",0.015,"LOD",0.065,"LOD",0.033,"LOD","stationary","39.90131732"," -75.2250262"
"174","61st & Passyunk",3,2023-10-25 08:51:00,2023-11-01 12:48:00,0.465,"REG",1.351,"REG",0.281,"REG",2.292,"REG",4.389,"REG",1.889,"REG",0.403,"REG",0.125,"REG",0.821,"REG",0.4,"REG",0.477,"REG",0.353,"REG",0.198,"REG",0.03,"REG",0.212,"REG",0.076,"REG",0.156,"REG",0.062,"REG",0.099,"REG",0.161,"REG",0.053,"REG",0.015,"LOD",0.097,"REG",0.054,"REG","stationary","39.91820446"," -75.2085474"
"175","28th & Passyunk",4,2023-10-25 08:56:00,2023-11-01 12:52:00,1.943,"REG",2.465,"ULOD",1.614,"REG",10.679,"ULOD",16.701,"ULOD",8.301,"ULOD",2.378,"REG",0.125,"REG",3.871,"ULOD",1.29249062944294,"ULOD",3.567,"REG",3.421,"ULOD",1.111,"REG",0.108,"REG",0.641,"REG",0.493,"REG",0.993,"REG",0.457,"REG",0.368,"REG",1.389,"REG",0.338,"REG",0.015,"LOD",0.343,"REG",0.122,"REG","stationary","39.92061091"," -75.1955879"
"176","Audenreid",18,2023-10-25 09:36:00,2023-11-01 13:00:00,0.472,"REG",1.326,"REG",0.257,"REG",1.993,"REG",4.048,"REG",1.645,"REG",0.348,"REG",0.12,"REG",0.694,"REG",0.375,"REG",0.447,"REG",0.297,"REG",0.158,"REG",0.026,"REG",0.152,"REG",0.065,"REG",0.14,"REG",0.051,"REG",0.085,"REG",0.137,"REG",0.047,"REG",0.031,"REG",0.078,"LOD",0.038,"LOD","rotating","39.93416729"," -75.19723264"
"177","Crescent Park",16,2023-10-25 09:49:00,2023-11-01 13:07:00,0.29,"REG",0.689,"REG",0.111,"REG",0.836,"REG",1.926,"REG",0.687,"REG",0.149,"REG",0.125,"REG",0.253,"REG",0.123,"REG",0.159,"REG",0.092,"REG",0.057,"REG",0.026,"REG",0.078,"REG",0.029,"LOD",0.058,"REG",0.022,"LOD",0.066,"REG",0.056,"REG",0.023,"LOD",0.026,"REG",0.058,"LOD",0.028,"LOD","rotating","39.93965"," -75.204199"
"178","Carl Moore Health Center",19,2023-10-25 09:25:00,2023-11-01 13:13:00,0.404,"REG",0.906,"REG",0.164,"REG",1.284,"REG",2.758,"REG",1.059,"REG",0.225,"REG",0.125,"REG",0.414,"REG",0.2,"REG",0.258,"REG",0.171,"REG",0.081,"REG",0.026,"REG",0.073,"REG",0.041,"LOD",0.089,"REG",0.037,"REG",0.08,"REG",0.088,"REG",0.033,"LOD",0.026,"REG",0.065,"LOD",0.023,"LOD","rotating","39.93592967"," -75.19557444"
"179","Morris & Point Breeze",7,2023-10-25 09:10:00,2023-11-01 13:21:00,0.434,"REG",0.912,"REG",0.208,"REG",1.692,"REG",3.246,"REG",1.402,"REG",0.29,"REG",0.134,"REG",0.529,"REG",0.283,"REG",0.327,"REG",0.296,"REG",0.105,"REG",0.026,"REG",0.078,"REG",0.059,"REG",0.115,"REG",0.047,"REG",0.103,"REG",0.128,"REG",0.043,"REG",0.037,"REG",0.129,"REG",0.085,"REG","stationary","39.93094655"," -75.1829941"
"180","25th & Point Breeze",6,2023-10-25 09:13:00,2023-11-01 13:28:00,0.428,"REG",1.036,"REG",0.232,"REG",2,"REG",3.696,"REG",1.664,"REG",0.336,"REG",0.124,"REG",0.632,"REG",0.38,"REG",0.408,"REG",0.398,"REG",0.121,"REG",0.065,"REG",0.064,"REG",0.065,"REG",0.132,"REG",0.062,"REG",0.089,"REG",0.169,"REG",0.047,"REG",0.026,"REG",0.084,"REG",0.033,"LOD","stationary","39.92771763"," -75.1873965"
"181","28th & Point Breeze",5,2023-10-25 09:17:00,2023-11-01 13:31:00,0.488,"REG",1.11,"REG",0.27,"REG",2.388,"REG",4.256,"REG",1.996,"REG",0.392,"REG",0.129,"REG",0.819,"REG",0.438,"REG",0.52,"REG",0.455,"REG",0.218,"REG",0.03,"REG",0.202,"REG",0.076,"REG",0.16,"REG",0.077,"REG",0.108,"REG",0.201,"REG",0.057,"REG",0.026,"REG",0.097,"REG",0.038,"LOD","stationary","39.92624784"," -75.1923165"
"182","24th & Ritner",8,2023-10-25 09:02:00,2023-11-01 13:38:00,0.547,"REG",1.185,"REG",0.357,"REG",3.146,"REG",5.235,"REG",2.633,"REG",0.513,"REG",0.124,"REG",1.004,"REG",0.592,"REG",0.668,"REG",0.807,"REG",0.238,"REG",0.021,"REG",0.174,"REG",0.123,"REG",0.22,"REG",0.117,"REG",0.179,"REG",0.313,"REG",0.083,"REG",0.02,"LOD",0.193,"REG",0.075,"REG","stationary","39.92296389"," -75.186874"
"183","26th & Hartranft",9,2023-10-25 10:05:00,2023-11-01 13:48:00,0.872,"REG",1.559,"REG",0.587,"REG",4.885,"REG",7.903,"REG",4.124,"REG",0.761,"REG",0.125,"REG",1.948,"REG",1.106,"REG",1.204,"REG",1.256,"REG",0.393,"REG",0.022,"REG",0.332,"REG",0.229,"REG",0.351,"REG",0.172,"REG",0.369,"REG",0.501,"REG",0.137,"REG",0.006,"ND",0.453,"REG",0.274,"REG","stationary","39.91327125"," -75.1922011"
"184","Bartram’s Garden",1,2023-11-01 12:24:00,2023-11-08 09:29:00,0.426,"REG",0.67,"REG",0.145,"REG",1.096,"REG",2.337,"REG",0.899,"REG",0.197,"REG",0.072,"REG",0.37,"REG",0.175,"REG",0.216,"REG",0.141,"REG",0.078,"REG",0.036,"REG",0.108,"REG",0.037,"LOD",0.078,"REG",0.027,"LOD",0.081,"REG",0.075,"REG",0.028,"LOD",0.105,"REG",0.068,"LOD",0.023,"LOD","stationary","39.92896"," -75.212541"
"185","Essington & Mingo",2,2023-11-01 12:40:00,2023-11-08 09:39:00,0.47,"REG",0.846,"REG",0.166,"REG",1.282,"REG",2.764,"REG",1.059,"REG",0.223,"REG",0.144,"REG",0.397,"REG",0.209,"REG",0.236,"REG",0.141,"REG",0.149,"REG",0.045,"REG",0.401,"REG",0.037,"LOD",0.078,"REG",0.034,"REG",0.136,"REG",0.075,"REG",0.028,"LOD",0.038,"REG",0.196,"REG",0.051,"LOD","stationary","39.90131732"," -75.2250262"
"186","61st & Passyunk",3,2023-11-01 12:48:00,2023-11-08 09:47:00,0.622,"REG",1.616,"REG",0.403,"REG",3.277,"REG",5.918,"REG",2.697,"REG",0.58,"REG",0.135,"REG",0.989,"REG",0.519,"REG",0.601,"REG",0.462,"REG",0.2,"REG",0.036,"REG",0.165,"REG",0.104,"REG",0.23,"REG",0.095,"REG",0.131,"REG",0.235,"REG",0.08,"REG",0.06,"REG",0.149,"REG",0.051,"LOD","stationary","39.91820446"," -75.2085474"
"187","28th & Passyunk",4,2023-11-01 12:52:00,2023-11-08 09:52:00,2.831,"REG",2.57,"ULOD",2.075,"REG",11.259,"ULOD",18.735,"ULOD",8.649,"ULOD",2.61,"REG",0.135,"REG",4.033,"ULOD",1.347,"ULOD",3.898,"ULOD",3.564,"ULOD",1.248,"ULOD",0.027,"REG",0.94,"REG",0.808,"REG",1.063,"ULOD",0.625,"REG",0.673,"REG",1.91,"REG",0.467,"REG",0.032,"REG",0.6,"REG",0.231,"REG","stationary","39.92061091"," -75.1955879"
"188","28th & Point Breeze",5,2023-11-01 13:31:00,2023-11-08 09:57:00,1.384,"REG",1.802,"REG",0.46,"REG",4.012,"REG",7.658,"REG",3.335,"REG",0.677,"REG",0.125,"REG",0.925,"REG",0.541,"REG",0.577,"REG",0.655,"REG",0.23,"REG",0.032,"REG",0.253,"REG",0.117,"REG",0.231,"REG",0.099,"REG",0.176,"REG",0.312,"REG",0.08,"REG",0.043,"REG",0.143,"REG",0.062,"REG","stationary","39.92624784"," -75.1923165"
"189","25th & Point Breeze",6,2023-11-01 13:28:00,2023-11-08 10:02:00,0.636,"REG",0.961,"REG",0.267,"REG",2.197,"REG",4.061,"REG",1.835,"REG",0.362,"REG",0.116,"REG",0.702,"REG",0.459,"REG",0.439,"REG",0.392,"REG",0.15,"REG",0.032,"REG",0.156,"REG",0.08,"REG",0.146,"REG",0.073,"REG",0.131,"REG",0.176,"REG",0.052,"REG",0.043,"REG",0.115,"REG",0.045,"LOD","stationary","39.92771763"," -75.1873965"
"190","Morris & Point Breeze",7,2023-11-01 13:21:00,2023-11-08 10:08:00,0.667,"REG",0.977,"REG",0.49,"REG",4.141,"REG",6.275,"REG",3.422,"REG",0.719,"REG",0.12,"REG",0.566,"REG",0.344,"REG",0.399,"REG",0.284,"REG",0.276,"REG",0.036,"REG",0.575,"REG",0.067,"REG",0.131,"REG",0.046,"REG",0.165,"REG",0.151,"REG",0.049,"REG",0.071,"REG",0.169,"REG",0.073,"REG","stationary","39.93094655"," -75.1829941"
"191","24th & Ritner",8,2023-11-01 13:38:00,2023-11-08 10:14:00,0.706,"REG",0.982,"REG",0.313,"REG",2.63,"REG",4.631,"REG",2.204,"REG",0.426,"REG",0.125,"REG",0.911,"REG",0.54,"REG",0.589,"REG",0.571,"REG",0.251,"REG",0.027,"REG",0.277,"REG",0.104,"REG",0.178,"REG",0.088,"REG",0.19,"REG",0.235,"REG",0.066,"REG",0.038,"REG",0.163,"REG",0.067,"REG","stationary","39.92296389"," -75.186874"
"192","26th & Hartranft",9,2023-11-01 13:48:00,2023-11-08 10:21:00,0.756,"REG",1.004,"REG",0.47,"REG",3.861,"REG",6.091,"REG",3.275,"REG",0.586,"REG",0.121,"REG",1.478,"REG",1.074,"REG",1.053,"REG",1.417,"REG",0.403,"REG",0.023,"REG",0.359,"REG",0.233,"REG",0.313,"REG",0.157,"REG",0.338,"REG",0.472,"REG",0.129,"REG",0.021,"LOD",0.365,"REG",0.199,"REG","stationary","39.91327125"," -75.1922011"
"193","Bartram’s Garden",1,2023-11-08 09:29:00,2023-11-15 09:56:00,0.312,"REG",0.353,"REG",0.068,"REG",0.516,"REG",1.249,"REG",0.422,"REG",0.094,"REG",0.165,"REG",0.217,"REG",0.106,"REG",0.11,"REG",0.057,"LOD",0.056,"REG",0.018,"REG",0.091,"REG",0.018,"LOD",0.035,"LOD",0.015,"LOD",0.041,"LOD",0.04,"REG",0.014,"LOD",0.042,"REG",0.04,"LOD",0.007,"LOD","stationary","39.92896"," -75.212541"
"194","Essington & Mingo",2,2023-11-08 09:41:00,2023-11-15 10:12:00,0.436,"REG",0.559,"REG",0.118,"REG",0.931,"REG",2.044,"REG",0.775,"REG",0.156,"REG",0.184,"REG",0.342,"REG",0.185,"REG",0.193,"REG",0.104,"REG",0.126,"REG",0.026,"REG",0.162,"REG",0.024,"LOD",0.056,"REG",0.019,"LOD",0.055,"REG",0.049,"REG",0.02,"LOD",0.02,"LOD",0.06,"LOD",0.023,"LOD","stationary","39.90131732"," -75.2250262"
"195","61st & Passyunk",3,2023-11-08 09:47:00,2023-11-15 10:39:00,0.552,"REG",1.226,"REG",0.285,"REG",2.353,"REG",4.416,"REG",1.937,"REG",0.416,"REG",0.174,"REG",0.855,"REG",0.461,"REG",0.479,"REG",0.359,"REG",0.212,"REG",0.031,"REG",0.251,"REG",0.078,"REG",0.159,"REG",0.063,"REG",0.104,"REG",0.164,"REG",0.058,"REG",0.02,"LOD",0.093,"REG",0.028,"LOD","stationary","39.91820446"," -75.2085474"
"196","28th & Passyunk",4,2023-11-08 09:52:00,2023-11-15 10:47:00,0.842,"REG",1.003,"REG",0.26,"REG",2.524,"REG",4.629,"REG",2.098,"REG",0.426,"REG",0.169,"REG",1.065,"REG",0.678,"REG",0.606,"REG",0.707,"REG",0.302,"REG",0.018,"REG",0.298,"REG",0.084,"REG",0.159,"REG",0.078,"REG",0.185,"REG",0.254,"REG",0.061,"REG",0.015,"LOD",0.145,"REG",0.039,"LOD","stationary","39.92061091"," -75.1955879"
"197","Morris & Point Breeze",7,2023-11-08 10:08:00,2023-11-15 11:06:00,0.515,"REG",0.701,"REG",0.152,"REG",1.171,"REG",2.539,"REG",0.963,"REG",0.208,"REG",0.188,"REG",0.387,"REG",0.21,"REG",0.224,"REG",0.173,"REG",0.109,"REG",0.018,"REG",0.147,"REG",0.042,"LOD",0.08,"REG",0.033,"REG",0.075,"REG",0.081,"REG",0.031,"LOD",0.037,"REG",0.08,"LOD",0.034,"LOD","stationary","39.93094655"," -75.1829941"
"198","25th & Point Breeze",6,2023-11-08 10:02:00,2023-11-15 11:13:00,0.483,"REG",0.763,"REG",0.181,"REG",1.566,"REG",2.993,"REG",1.307,"REG",0.259,"REG",0.183,"REG",0.374,"REG",0.263,"REG",0.23,"REG",0.184,"REG",0.105,"REG",0.018,"REG",0.124,"REG",0.036,"LOD",0.08,"REG",0.033,"REG",0.065,"REG",0.089,"REG",0.031,"LOD",0.026,"REG",0.06,"LOD",0.028,"LOD","stationary","39.92771763"," -75.1873965"
"199","28th & Point Breeze",5,2023-11-08 09:58:00,2023-11-15 11:22:00,0.679,"REG",0.883,"REG",0.181,"REG",1.564,"REG",3.307,"REG",1.284,"REG",0.28,"REG",0.183,"REG",0.419,"REG",0.236,"REG",0.236,"REG",0.184,"REG",0.109,"REG",0.017,"REG",0.147,"REG",0.048,"LOD",0.093,"REG",0.041,"REG",0.118,"REG",0.122,"REG",0.034,"LOD",0.02,"LOD",0.106,"REG",0.028,"LOD","stationary","39.92624784"," -75.1923165"
"200","24th & Ritner",8,2023-11-08 10:14:00,2023-11-15 11:37:00,0.526,"REG",0.632,"REG",0.156,"REG",1.382,"REG",2.696,"REG",1.144,"REG",0.238,"REG",0.178,"REG",0.498,"REG",0.308,"REG",0.306,"REG",0.358,"REG",0.15,"REG",0.017,"REG",0.18,"REG",0.054,"LOD",0.097,"REG",0.041,"REG",0.146,"REG",0.147,"REG",0.037,"REG",0.026,"REG",0.092,"REG",0.028,"LOD","stationary","39.92296389"," -75.186874"
"201","26th & Hartranft",9,2023-11-08 10:21:00,2023-11-15 11:57:00,0.556,"REG",0.618,"REG",0.191,"REG",1.636,"REG",3.001,"REG",1.367,"REG",0.269,"REG",0.187,"REG",0.858,"REG",0.59,"REG",0.597,"REG",0.785,"REG",0.26,"REG",0.017,"REG",0.278,"REG",0.095,"REG",0.131,"REG",0.063,"REG",0.228,"REG",0.22,"REG",0.061,"REG",0.015,"LOD",0.25,"REG",0.124,"REG","stationary","39.91327125"," -75.1922011"
"202","Bartram’s Garden",1,2023-11-15 09:53:00,2023-11-22 11:24:00,0.396,"REG",0.606,"REG",0.127,"REG",0.989,"REG",2.118,"REG",0.813,"REG",0.176,"REG",0.169,"REG",0.399,"REG",0.203,"REG",0.23,"REG",0.149,"REG",0.084,"REG",0.026,"REG",0.11,"REG",0.036,"LOD",0.066,"REG",0.03,"REG",0.065,"REG",0.065,"REG",0.024,"LOD",0.053,"REG",0.06,"LOD",0.023,"LOD","stationary","39.92896"," -75.212541"
"203","Essington & Mingo",2,2023-11-15 10:12:00,2023-11-22 11:36:00,0.421,"REG",0.703,"REG",0.132,"REG",1.036,"REG",2.292,"REG",0.855,"REG",0.181,"REG",0.178,"REG",0.439,"REG",0.23,"REG",0.223,"REG",0.126,"REG",0.076,"REG",0.048,"REG",0.096,"REG",0.03,"LOD",0.066,"REG",0.026,"LOD",0.06,"REG",0.065,"REG",0.024,"LOD",0.015,"LOD",0.066,"LOD",0.023,"LOD","stationary","39.90131732"," -75.2250262"
"204","61st & Passyunk",3,2023-11-15 10:39:00,2023-11-22 11:45:00,0.607,"REG",1.438,"REG",0.329,"REG",2.746,"REG",5.12,"REG",2.258,"REG",0.488,"REG",0.164,"REG",0.926,"REG",0.552,"REG",0.542,"REG",0.474,"REG",0.183,"REG",0.035,"REG",0.152,"REG",0.09,"REG",0.183,"REG",0.074,"REG",0.108,"REG",0.196,"REG",0.065,"REG",0.02,"LOD",0.099,"REG",0.039,"LOD","stationary","39.91820446"," -75.2085474"
"205","28th & Passyunk",4,2023-11-15 10:47:00,2023-11-22 11:49:00,1.31,"REG",1.632,"REG",0.566,"REG",5.568,"REG",9.076,"REG",4.66,"REG",0.908,"REG",0.169,"REG",2.491,"REG",1.788,"REG",1.458,"REG",2.098,"REG",0.577,"REG",0.123,"REG",0.532,"REG",0.221,"REG",0.398,"REG",0.197,"REG",0.45,"REG",0.681,"REG",0.16,"REG",0.015,"LOD",0.329,"REG",0.13,"REG","stationary","39.92061091"," -75.1955879"
